Time,Emotion,Confidence
18:26:20,angry,0.7
18:26:20,neutral,0.97
18:26:29,happy,0.84
18:26:29,angry,0.96
18:26:29,neutral,0.91
18:26:34,happy,0.87
18:26:36,neutral,0.98
18:26:38,surprise,0.56
18:26:40,neutral,0.99
18:26:41,happy,0.5
18:26:43,neutral,0.99
21:26:06,neutral,0.53
21:26:11,happy,0.96
21:26:13,neutral,0.96
21:26:18,angry,0.6
21:26:19,neutral,0.61
21:26:20,angry,0.62
21:26:20,neutral,0.56
21:26:27,happy,0.92
21:26:27,neutral,0.99
21:26:33,surprise,0.66
21:26:33,neutral,0.85
21:26:33,happy,0.98
21:26:34,neutral,0.91
21:26:34,happy,0.8
21:26:35,neutral,0.54
21:26:35,happy,0.96
21:26:35,neutral,0.76
21:26:36,happy,0.87
21:26:40,neutral,0.58
21:26:40,happy,0.99
21:26:41,neutral,0.97
21:26:41,happy,0.59
21:26:41,neutral,0.57
21:26:41,happy,0.58
21:26:42,neutral,0.53
21:26:43,happy,0.62
21:57:42,angry,0.76
21:57:43,surprise,0.87
21:57:43,angry,0.93
21:57:44,neutral,0.55
21:57:46,happy,0.95
21:57:47,neutral,0.74
21:57:47,surprise,0.75
21:57:48,neutral,0.94
21:57:48,happy,0.95
21:57:51,neutral,0.77
21:57:51,happy,0.55
21:57:51,neutral,0.75
21:57:51,happy,0.75
21:57:54,neutral,0.57
21:57:55,angry,0.54
21:57:55,happy,0.59
21:57:55,angry,0.68
21:57:56,neutral,1.0
21:57:58,happy,0.57
21:57:58,neutral,0.74
22:16:55,angry,1.0
